Name,Height,Weight,Age,Sex,Profession,Salary,Height_indicator,Weight_indicator,Apartments_count
Ширяев Булат,172.0,58.0,82,м,студент,42000,0,0,0
Кудряшов Емельян,166.0,99.0,80,м,бухгалтер,188000,0,0,1
Пестов Матвей,180.0,98.0,26,м,бухгалтер,165000,0,0,0
Меркушев Ефрем,179.0,109.0,35,м,преподаватель,91000,0,0,0
Владимиров Модест,193.0,109.0,26,м,сантехник,414000,0,0,0
Архипов Касьян,190.0,95.0,68,м,автослесарь,150000,0,0,0
Буров Ринат,177.0,57.0,77,м,программист,406000,0,0,0
Александров Семен,189.0,118.0,73,м,врач,430000,0,0,0
Иванков Кирилл,169.0,78.0,78,м,студент,403000,0,0,0
Комиссаров Мартын,183.0,84.0,26,м,студент,143000,0,0,1
Кабанов Юрий,185.0,105.0,68,м,преподаватель,353000,0,0,0
Давыдов Алексей,186.0,103.0,70,м,программист,384000,0,0,0
Харитонов Эльдар,174.0,63.0,88,м,студент,31000,0,0,0
Зимин Аполлон,185.0,71.38074499154582,61,м,врач,125000,0,1,0
Муравьёв Демид,176.0,87.0,23,м,инженер,137000,0,0,0
Поляков Диомид,185.0,107.0,69,м,продавец,299000,0,0,1
Яковлев Денис,172.0,69.0,46,м,продавец,410000,0,0,0
Дроздов Никифор,167.0,119.0,58,м,автослесарь,36000,0,0,0
Рогов Вилен,185.0,94.0,29,м,бухгалтер,470000,0,0,0
Игнатов Арсений,172.0,58.0,58,м,инженер,80000,0,0,1
Коновалов Демид,170.0,88.0,21,м,сантехник,377000,0,0,1
Абрамов Эдуард,168.0,94.0,45,м,сантехник,404000,0,0,1
Кулагин Климент,172.0,110.0,80,м,врач,478000,0,0,0
Ковалёв Климент,174.52731681034481,98.0,45,м,бухгалтер,20000,1,0,0
Яковлев Илья,173.0,63.0,52,м,продавец,28000,0,0,0
Казаков Владлен,194.0,71.38074499154582,30,м,автослесарь,416000,0,1,0
Николаев Андрей,177.0,107.0,70,м,инженер,243000,0,0,0
Красильников Влас,190.0,118.0,81,м,продавец,26000,0,0,0
Кулагин Геннадий,192.0,91.0,75,м,инженер,328000,0,0,0
Шашков Арсен,181.0,71.38074499154582,83,м,сантехник,279000,0,1,0
Блохин Даниил,193.0,62.0,88,м,инженер,305000,0,0,0
Сергеев Тарас,171.0,94.0,37,м,сантехник,76000,0,0,0
Селезнёв Кирилл,177.0,69.0,87,м,программист,158000,0,0,0
Кузнецов Андрей,181.0,67.0,83,м,бухгалтер,344000,0,0,1
Фокин Антоний,191.0,93.0,75,м,бухгалтер,386000,0,0,0
Стрелков Максим,182.0,99.0,40,м,бухгалтер,170000,0,0,0
Якушев Августин,172.0,92.0,40,м,преподаватель,370000,0,0,1
Попов Юрий,193.0,78.0,76,м,инженер,322000,0,0,2
Сазонов Болеслав,189.0,63.0,80,м,продавец,259000,0,0,0
Сысоев Аким,188.0,58.0,36,м,студент,317000,0,0,0
Крюков Ренат,185.0,104.0,84,м,сантехник,351000,0,0,0
Коновалов Кир,182.0,93.0,81,м,преподаватель,17000,0,0,0
Красильников Фёдор,177.0,104.0,79,м,программист,11000,0,0,1
Орлов Всеволод,187.0,117.0,78,м,автослесарь,57000,0,0,1
Авдеев Демьян,177.0,71.38074499154582,30,м,студент,370000,0,1,0
Мельников Алексей,191.0,95.0,63,м,преподаватель,79000,0,0,0
Аксёнов Ярослав,179.0,90.0,72,м,врач,299000,0,0,0
Васильев Рустам,190.0,90.0,84,м,студент,160000,0,0,0
Матвеев Евстахий,190.0,116.0,21,м,преподаватель,236000,0,0,0
Шубин Антоний,172.0,93.0,45,м,преподаватель,130000,0,0,2
Силин Андрей,175.0,62.0,51,м,инженер,173000,0,0,0
Корнилов Аристарх,177.0,52.0,26,м,врач,18000,0,0,1
Бирюков Терентий,184.0,105.0,64,м,врач,410000,0,0,0
Борисов Иннокентий,191.0,87.0,22,м,программист,221000,0,0,0
Устинов Ян,178.0,102.0,83,м,преподаватель,470000,0,0,0
Емельянов Антоний,171.0,101.0,82,м,автослесарь,29000,0,0,0
Куликов Дамир,191.0,105.0,74,м,бухгалтер,299000,0,0,1
Федотов Макарий,173.0,71.0,70,м,программист,383000,0,0,1
Евдокимов Димитрий,176.0,100.0,54,м,врач,214000,0,0,1
Морозов Роман,165.0,86.0,21,м,врач,389000,0,0,0
Родионов Данислав,177.0,96.0,22,м,студент,355000,0,0,1
Суханов Диомид,170.0,89.0,46,м,инженер,332000,0,0,0
Мамонтов Святослав,170.0,80.0,47,м,сантехник,448000,0,0,0
Панов Никифор,172.0,116.0,25,м,автослесарь,256000,0,0,0
Шашков Арсен,176.0,83.0,20,м,автослесарь,206000,0,0,0
Мухин Семен,184.0,99.0,67,м,бухгалтер,402000,0,0,0
Туров Николай,174.52731681034481,109.0,50,м,преподаватель,156000,1,0,1
Фомичёв Семён,181.0,78.0,61,м,сантехник,360000,0,0,0
Белоусов Кирилл,170.0,99.0,75,м,программист,486000,0,0,0
Ефремов Еремей,191.0,71.38074499154582,23,м,бухгалтер,58000,0,1,0
Лобанов Мартин,169.0,77.0,32,м,бухгалтер,360000,0,0,0
Миронов Марат,176.0,115.0,33,м,врач,23000,0,0,0
Константинов Герасим,174.52731681034481,96.0,86,м,сантехник,113000,1,0,1
Лобанов Елисей,168.0,107.0,62,м,продавец,449000,0,0,0
Шестаков Августин,175.0,69.0,43,м,преподаватель,445000,0,0,2
Зиновьев Николай,189.0,91.0,32,м,бухгалтер,193000,0,0,1
Сафонов Тихон,179.0,71.38074499154582,33,м,продавец,409000,0,1,1
Гордеев Константин,168.0,70.0,59,м,студент,72000,0,0,1
Фёдоров Виктор,167.0,82.0,54,м,врач,303000,0,0,0
Дементьев Мирослав,183.0,87.0,32,м,автослесарь,452000,0,0,0
Рогов Трофим,174.0,51.0,51,м,автослесарь,208000,0,0,0
Волков Фаддей,172.0,90.0,18,м,сантехник,380000,0,0,0
Исаков Кондрат,174.0,111.0,49,м,автослесарь,108000,0,0,0
Николаев Мирон,184.0,101.0,73,м,бухгалтер,238000,0,0,0
Кулагин Аркадий,167.0,56.0,31,м,врач,395000,0,0,1
Осипов Глеб,166.0,70.0,57,м,сантехник,182000,0,0,0
Агафонов Серафим,178.0,66.0,56,м,инженер,139000,0,0,1
Терентьев Радик,178.0,111.0,68,м,продавец,386000,0,0,0
Корнилов Потап,188.0,98.0,67,м,студент,99000,0,0,0
Суханов Никола,169.0,71.38074499154582,28,м,продавец,97000,0,1,1
Власов Леонид,169.0,104.0,45,м,бухгалтер,476000,0,0,1
Беспалов Потап,192.0,93.0,28,м,продавец,327000,0,0,0
Зайцев Димитрий,177.0,98.0,64,м,студент,324000,0,0,0
Селиверстов Климент,188.0,61.0,46,м,программист,287000,0,0,0
Кудрявцев Митрофан,181.0,83.0,72,м,продавец,445000,0,0,0
Зыков Макар,188.0,72.0,85,м,сантехник,482000,0,0,1
Степанов Никита,172.0,81.0,36,м,автослесарь,19000,0,0,1
Антонов Егорий,166.0,117.0,80,м,программист,355000,0,0,0
Цветков Филимон,174.0,71.0,27,м,автослесарь,194000,0,0,1
Журавлёв Остап,181.0,90.0,63,м,продавец,200000,0,0,0
Белоусов Пётр,173.0,68.0,68,м,преподаватель,367000,0,0,0
Блинов Валентин,174.52731681034481,51.0,43,м,врач,228000,1,0,2
Беляев Арсен,180.0,114.0,51,м,автослесарь,294000,0,0,0
Сазонов Марк,170.0,73.0,36,м,инженер,428000,0,0,0
Дорофеев Ярослав,172.0,97.0,18,м,автослесарь,403000,0,0,1
Кошелев Климент,184.0,91.0,23,м,инженер,470000,0,0,0
Киселёв Тихон,191.0,59.0,78,м,инженер,122000,0,0,0
Лапин Пётр,176.0,113.0,33,м,сантехник,491000,0,0,0
Суворов Григорий,179.0,101.0,57,м,преподаватель,278000,0,0,1
Дементьев Юлий,188.0,59.0,70,м,инженер,176000,0,0,0
Гришин Терентий,175.0,63.0,46,м,инженер,102000,0,0,0
Дроздов Валентин,178.0,106.0,86,м,бухгалтер,487000,0,0,0
Рожков Глеб,187.0,66.0,78,м,студент,264000,0,0,1
Суворов Никита,167.0,103.0,72,м,врач,105000,0,0,0
Назаров Евдоким,176.0,113.0,39,м,инженер,361000,0,0,0
Исаев Семён,177.0,75.0,34,м,программист,254000,0,0,1
Фомичёв Ренат,171.0,119.0,34,м,автослесарь,388000,0,0,0
Новиков Платон,169.0,109.0,59,м,программист,343000,0,0,1
Носков Август,183.0,83.0,46,м,бухгалтер,277000,0,0,0
Игнатов Марат,185.0,103.0,49,м,сантехник,460000,0,0,0
Дорофеев Герман,176.0,76.0,80,м,программист,123000,0,0,0
Буров Марат,178.0,106.0,47,м,врач,21000,0,0,0
Авдеев Еремей,186.0,73.0,73,м,сантехник,422000,0,0,1
Афанасьев Еремей,183.0,71.38074499154582,50,м,автослесарь,113000,0,1,0
Савельев Гордей,167.0,53.0,44,м,автослесарь,412000,0,0,0
Михайлов Святослав,173.0,68.0,53,м,студент,182000,0,0,0
Васильев Игнатий,171.0,74.0,47,м,инженер,69000,0,0,2
Воронов Эрик,177.0,117.0,25,м,врач,12000,0,0,0
Ковалёв Аристарх,172.0,109.0,63,м,автослесарь,15000,0,0,0
Мышкин Матвей,180.0,58.0,26,м,бухгалтер,282000,0,0,1
Данилов Чарли,167.0,114.0,78,м,преподаватель,117000,0,0,0
Фокин Виссарион,176.0,81.0,43,м,продавец,57000,0,0,0
Мухин Всеволод,172.0,83.0,76,м,сантехник,76000,0,0,0
Баранов Егорий,184.0,53.0,32,м,преподаватель,390000,0,0,0
Соболев Захар,192.0,115.0,36,м,студент,499000,0,0,0
Киселёв Болеслав,167.0,99.0,79,м,программист,145000,0,0,0
Антонов Тимофей,185.0,73.0,18,м,врач,294000,0,0,0
Горшков Болеслав,191.0,115.0,69,м,продавец,154000,0,0,1
Исаев Егорий,191.0,112.0,36,м,врач,52000,0,0,2
Большаков Аркадий,168.0,73.0,51,м,студент,415000,0,0,0
Цветков Агафон,170.0,84.0,44,м,автослесарь,226000,0,0,0
Блохин Артём,172.0,61.0,40,м,бухгалтер,245000,0,0,0
Морозов Платон,178.0,93.0,38,м,автослесарь,189000,0,0,0
Панфилов Сергей,182.0,87.0,21,м,преподаватель,54000,0,0,0
Бирюков Рустам,169.0,102.0,50,м,студент,250000,0,0,0
Галкин Мирослав,181.0,93.0,70,м,инженер,415000,0,0,0
Пестов Геннадий,174.0,84.0,18,м,врач,389000,0,0,0
Носков Лукьян,177.0,100.0,28,м,студент,22000,0,0,0
Фокин Юлиан,182.0,72.0,20,м,программист,62000,0,0,0
Воронцов Чарли,175.0,72.0,70,м,преподаватель,408000,0,0,0
Михайлов Радий,166.0,104.0,53,м,студент,484000,0,0,1
Воронцов Алексей,168.0,119.0,83,м,инженер,59000,0,0,1
Русаков Никита,175.0,100.0,72,м,студент,459000,0,0,1
Субботин Илья,177.0,52.0,72,м,врач,402000,0,0,0
Куликов Семён,182.0,57.0,49,м,продавец,156000,0,0,0
Носов Игнатий,185.0,50.0,51,м,бухгалтер,35000,0,0,0
Ковалёв Яков,176.0,92.0,37,м,программист,354000,0,0,0
Исаев Григорий,186.0,85.0,23,м,программист,131000,0,0,0
Шестаков Никодим,193.0,90.0,89,м,студент,431000,0,0,0
Воронов Савва,193.0,77.0,43,м,преподаватель,433000,0,0,0
Мамонтов Денис,193.0,62.0,74,м,продавец,481000,0,0,0
Прохоров Илья,180.0,117.0,70,м,преподаватель,448000,0,0,1
Михайлов Болеслав,177.0,76.0,19,м,сантехник,354000,0,0,0
Галкин Григорий,191.0,89.0,40,м,инженер,250000,0,0,0
Горшков Арсентий,185.0,79.0,31,м,инженер,262000,0,0,0
Мишин Валерий,172.0,71.38074499154582,52,м,студент,161000,0,1,1
Павлов Борис,174.0,110.0,26,м,инженер,13000,0,0,0
Панов Семен,183.0,76.0,76,м,бухгалтер,126000,0,0,0
Власов Климент,166.0,56.0,60,м,преподаватель,82000,0,0,1
Осипов Феликс,168.0,67.0,21,м,программист,95000,0,0,0
Моисеев Анатолий,177.0,74.0,82,м,преподаватель,400000,0,0,0
Борисов Филимон,165.0,96.0,53,м,продавец,143000,0,0,0
Кабанов Виктор,188.0,72.0,27,м,продавец,40000,0,0,1
Константинов Бронислав,168.0,107.0,83,м,сантехник,185000,0,0,0
Муравьёв Вадим,193.0,83.0,34,м,автослесарь,322000,0,0,1
Лобанов Ренат,186.0,86.0,71,м,автослесарь,375000,0,0,0
Фомин Герман,168.0,63.0,60,м,продавец,13000,0,0,0
Евсеев Серафим,165.0,51.0,89,м,инженер,366000,0,0,0
Тимофеев Владимир,180.0,99.0,44,м,врач,348000,0,0,1
Брагин Никодим,173.0,101.0,53,м,программист,270000,0,0,0
Соловьёв Артемий,182.0,108.0,25,м,автослесарь,99000,0,0,0
Емельянов Аркадий,187.0,96.0,69,м,врач,35000,0,0,1
Тихонов Константин,182.0,59.0,42,м,продавец,373000,0,0,1
Доронин Артур,173.0,78.0,56,м,врач,368000,0,0,0
Кононов Вадим,189.0,106.0,81,м,бухгалтер,285000,0,0,1
Аксёнов Марк,171.0,51.0,54,м,инженер,260000,0,0,0
Стрелков Юрий,190.0,62.0,64,м,студент,330000,0,0,0
Пестов Мирослав,192.0,109.0,38,м,бухгалтер,432000,0,0,0
Рябов Авраам,175.0,99.0,88,м,преподаватель,229000,0,0,0
Савин Дамир,184.0,54.0,75,м,продавец,110000,0,0,0
Виноградов Евдоким,179.0,113.0,36,м,автослесарь,343000,0,0,0
Кузнецов Савелий,188.0,62.0,70,м,автослесарь,79000,0,0,0
Медведев Бенедикт,190.0,97.0,68,м,преподаватель,61000,0,0,0
Данилов Евдоким,172.0,85.0,33,м,преподаватель,61000,0,0,0
Григорьев Сидор,192.0,114.0,71,м,сантехник,195000,0,0,0
Коновалов Игнатий,193.0,85.0,82,м,врач,322000,0,0,0
Денисов Дмитрий,190.0,114.0,39,м,врач,486000,0,0,0
Карпов Архип,168.0,103.0,33,м,программист,413000,0,0,1
Новиков Григорий,183.0,109.0,56,м,врач,43000,0,0,0
Рожков Ярослав,190.0,90.0,36,м,инженер,238000,0,0,1
Доронин Феликс,172.0,71.38074499154582,48,м,студент,362000,0,1,0
Иванов Ренат,174.0,77.0,68,м,студент,360000,0,0,0
Яковлев Демид,190.0,115.0,47,м,программист,156000,0,0,0
Котов Давид,184.0,96.0,42,м,бухгалтер,237000,0,0,2
Шубин Кирилл,165.0,59.0,77,м,программист,65000,0,0,3
Марков Виталий,174.52731681034481,59.0,67,м,студент,399000,1,0,1
Доронин Тихон,171.0,107.0,18,м,преподаватель,115000,0,0,0
Поляков Марк,175.0,86.0,47,м,врач,146000,0,0,0
Гуляев Дмитрий,179.0,52.0,23,м,врач,342000,0,0,0
Петухов Мирослав,193.0,95.0,37,м,программист,135000,0,0,0
Кононов Юрий,176.0,71.0,87,м,бухгалтер,178000,0,0,0
Сергеев Давид,174.52731681034481,101.0,45,м,автослесарь,92000,1,0,0
Стрелков Демьян,191.0,92.0,28,м,студент,220000,0,0,0
Александров Ефим,172.0,114.0,20,м,автослесарь,468000,0,0,1
Щукин Дамир,165.0,71.38074499154582,85,м,программист,43000,0,1,0
Аксёнов Арсентий,169.0,53.0,82,м,автослесарь,469000,0,0,0
Ларионов Вениамин,173.0,58.0,61,м,сантехник,402000,0,0,0
Исаков Юлий,192.0,91.0,46,м,продавец,53000,0,0,0
Гордеев Пётр,194.0,111.0,83,м,врач,198000,0,0,0
Карпов Бронислав,182.0,74.0,57,м,врач,110000,0,0,0
Пестов Егор,193.0,79.0,50,м,продавец,82000,0,0,0
Дьячков Мартин,171.0,91.0,58,м,преподаватель,215000,0,0,0
Игнатов Всеволод,186.0,112.0,87,м,врач,319000,0,0,1
Алексеев Герман,176.0,108.0,18,м,врач,170000,0,0,0
Суворов Диомид,173.0,114.0,57,м,преподаватель,273000,0,0,1
Лаврентьев Августин,186.0,84.0,82,м,сантехник,279000,0,0,0
Ефремов Денис,193.0,61.0,88,м,студент,267000,0,0,0
Ефремов Чарли,184.0,55.0,60,м,преподаватель,393000,0,0,0
Савин Виссарион,191.0,77.0,79,м,автослесарь,383000,0,0,1
Родионов Игнат,191.0,92.0,27,м,продавец,256000,0,0,0
Белозёров Макар,177.0,55.0,26,м,автослесарь,158000,0,0,0
Зыков Осип,170.0,89.0,36,м,инженер,109000,0,0,0
Федосеев Макарий,174.52731681034481,109.0,23,м,студент,349000,1,0,1
Доронин Евстахий,193.0,104.0,65,м,врач,470000,0,0,0
Комаров Арсений,168.0,83.0,61,м,сантехник,157000,0,0,0
Антонов Анастасий,172.0,100.0,34,м,студент,349000,0,0,0
Галкин Илья,185.0,116.0,66,м,программист,352000,0,0,1
Николаев Харитон,173.0,62.0,39,м,врач,380000,0,0,0
Ермаков Демид,170.0,92.0,57,м,сантехник,118000,0,0,0
Тетерин Анастасий,172.0,60.0,31,м,автослесарь,57000,0,0,2
Дьячков Болеслав,174.0,71.38074499154582,79,м,программист,141000,0,1,0
Корнилов Иероним,167.0,93.0,31,м,инженер,343000,0,0,0
Крюков Всеволод,166.0,71.38074499154582,62,м,продавец,15000,0,1,0
Беляков Никанор,183.0,113.0,21,м,продавец,348000,0,0,0
Авдеев Аполлон,181.0,50.0,86,м,врач,88000,0,0,0
Авдеев Радомир,185.0,81.0,57,м,продавец,271000,0,0,1
Лобанов Григорий,193.0,63.0,18,м,автослесарь,98000,0,0,0
Пономарёв Болеслав,179.0,99.0,26,м,продавец,108000,0,0,0
Цветков Дамир,190.0,114.0,51,м,преподаватель,446000,0,0,0
Захаров Федот,189.0,96.0,60,м,врач,396000,0,0,1
Попов Илларион,187.0,58.0,81,м,сантехник,53000,0,0,1
Красильников Зиновий,173.0,64.0,89,м,программист,426000,0,0,0
Капустин Ренат,185.0,101.0,18,м,врач,490000,0,0,0
Мельников Зорийй,166.0,82.0,82,м,продавец,367000,0,0,0
Цветков Марат,180.0,56.0,74,м,врач,406000,0,0,0
Цветков Анфим,182.0,104.0,87,м,автослесарь,319000,0,0,0
Пестов Влас,187.0,62.0,36,м,автослесарь,177000,0,0,0
Ситников Иероним,192.0,71.38074499154582,45,м,преподаватель,156000,0,1,0
Самойлов Леонид,166.0,86.0,61,м,продавец,340000,0,0,0
Некрасов Никола,174.0,102.0,32,м,бухгалтер,434000,0,0,0
Артемьев Виталий,184.0,58.0,86,м,студент,301000,0,0,0
Ширяев Модест,174.52731681034481,81.0,79,м,преподаватель,127000,1,0,1
Киселёв Степан,168.0,79.0,25,м,врач,271000,0,0,0
Зуев Макарий,173.0,99.0,79,м,программист,316000,0,0,0
Поляков Евстахий,173.0,68.0,61,м,автослесарь,133000,0,0,0
Беляков Аполлон,192.0,117.0,41,м,инженер,450000,0,0,0
Веселов Федот,166.0,68.0,82,м,продавец,219000,0,0,0
Кириллов Спартак,182.0,60.0,30,м,автослесарь,198000,0,0,0
Лазарев Кир,189.0,59.0,87,м,врач,109000,0,0,0
Симонов Святослав,180.0,57.0,33,м,сантехник,407000,0,0,0
Чернов Болеслав,177.0,87.0,18,м,врач,228000,0,0,0
Маслов Анфим,168.0,74.0,77,м,врач,345000,0,0,0
Никонов Роман,165.0,117.0,46,м,автослесарь,430000,0,0,0
Гусев Ян,185.0,91.0,30,м,продавец,250000,0,0,0
Кабанов Наум,174.52731681034481,96.0,78,м,студент,41000,1,0,0
Тетерин Бронислав,189.0,79.0,64,м,автослесарь,53000,0,0,0
Мухин Данислав,174.0,84.0,28,м,инженер,461000,0,0,0
Туров Иван,178.0,59.0,58,м,бухгалтер,283000,0,0,0
Уваров Авраам,174.52731681034481,97.0,19,м,продавец,233000,1,0,0
Рогов Лукьян,184.0,85.0,88,м,студент,252000,0,0,0
Гусев Рустам,179.0,93.0,27,м,автослесарь,331000,0,0,0
Бобылёв Вадим,185.0,65.0,48,м,инженер,267000,0,0,1
Ларионов Осип,187.0,53.0,80,м,преподаватель,240000,0,0,0
Романов Диомид,166.0,71.38074499154582,85,м,преподаватель,142000,0,1,1
Устинов Артур,169.0,118.0,52,м,врач,466000,0,0,1
Беляев Вольдемар,179.0,60.0,60,м,продавец,75000,0,0,0
Щербаков Фёдор,187.0,106.0,24,м,программист,222000,0,0,0
Андреев Леонид,169.0,94.0,68,м,преподаватель,127000,0,0,1
